Id,SalePrice
1461,128881.04487179487
1462,140548.4375
1463,177793.80203045686
1464,177793.80203045686
1465,204980.48484848486
1466,177793.80203045686
1467,163001.78787878787
1468,177793.80203045686
1469,186893.95238095237
1470,128881.04487179487
1471,186893.95238095237
1472,109902.06097560975
1473,109902.06097560975
1474,177793.80203045686
1475,186893.95238095237
1476,519234.0
1477,258738.42857142858
1478,345088.47826086957
1479,204980.48484848486
1480,393523.28571428574
1481,327171.48
1482,204980.48484848486
1483,163001.78787878787
1484,186893.95238095237
1485,186893.95238095237
1486,212350.37142857144
1487,411666.6666666667
1488,258738.42857142858
1489,186893.95238095237
1490,177793.80203045686
1491,186893.95238095237
1492,88565.5625
1493,177793.80203045686
1494,332496.125
1495,327171.48
1496,298812.0
1497,186893.95238095237
1498,164347.7142857143
1499,164347.7142857143
1500,128881.04487179487
1501,177793.80203045686
1502,186893.95238095237
1503,373903.8
1504,204980.48484848486
1505,222696.16666666666
1506,177793.80203045686
1507,222198.23529411765
1508,177793.80203045686
1509,177793.80203045686
1510,163001.78787878787
1511,163001.78787878787
1512,177793.80203045686
1513,177793.80203045686
1514,151238.05128205128
1515,222198.23529411765
1516,177793.80203045686
1517,142543.75
1518,132212.66666666666
1519,254933.33333333334
1520,142543.75
1521,163001.78787878787
1522,177793.80203045686
1523,109902.06097560975
1524,109902.06097560975
1525,128881.04487179487
1526,128881.04487179487
1527,109902.06097560975
1528,128881.04487179487
1529,163001.78787878787
1530,177793.80203045686
1531,131782.42857142858
1532,128881.04487179487
1533,140548.4375
1534,109902.06097560975
1535,151238.05128205128
1536,140548.4375
1537,88565.5625
1538,204980.48484848486
1539,122000.0
1540,107338.46153846153
1541,177793.80203045686
1542,151238.05128205128
1543,195035.7142857143
1544,88565.5625
1545,128881.04487179487
1546,109902.06097560975
1547,151238.05128205128
1548,151238.05128205128
1549,109902.06097560975
1550,177793.80203045686
1551,116404.44444444444
1552,177793.80203045686
1553,131782.42857142858
1554,109902.06097560975
1555,151238.05128205128
1556,88565.5625
1557,151238.05128205128
1558,88565.5625
1559,107338.46153846153
1560,132212.66666666666
1561,151238.05128205128
1562,109902.06097560975
1563,128881.04487179487
1564,163001.78787878787
1565,177793.80203045686
1566,186893.95238095237
1567,88565.5625
1568,177793.80203045686
1569,151238.05128205128
1570,109902.06097560975
1571,151238.05128205128
1572,140548.4375
1573,222696.16666666666
1574,163001.78787878787
1575,186893.95238095237
1576,177793.80203045686
1577,186893.95238095237
1578,177793.80203045686
1579,128881.04487179487
1580,186893.95238095237
1581,142543.75
1582,128881.04487179487
1583,327171.48
1584,246042.57894736843
1585,128881.04487179487
1586,56670.125
1587,109902.06097560975
1588,163001.78787878787
1589,88565.5625
1590,142543.75
1591,109902.06097560975
1592,116404.44444444444
1593,109902.06097560975
1594,131782.42857142858
1595,107338.46153846153
1596,246042.57894736843
1597,132212.66666666666
1598,186893.95238095237
1599,204980.48484848486
1600,204980.48484848486
1601,128881.04487179487
