Id,SalePrice
1461,120739.984
1462,153248.25
1463,179827.25
1464,186223.48
1465,186365.12
1466,176857.88
1467,170532.78
1468,165529.25
1469,186291.45
1470,123364.06
1471,200753.0
1472,96894.08
1473,97631.84
1474,153520.31
1475,132428.88
1476,405471.4
1477,259933.69
1478,294694.0
1479,237980.73
1480,444019.34
1481,319023.62
1482,213351.56
1483,165853.2
1484,168017.23
1485,175603.23
1486,190807.92
1487,350012.22
1488,234134.45
1489,208749.69
1490,224417.27
1491,191863.45
1492,84851.43
1493,194629.0
1494,294826.22
1495,295659.06
1496,234462.39
1497,184995.06
1498,164264.06
1499,164774.0
1500,151993.14
1501,173324.9
1502,153486.08
1503,291374.47
1504,229275.9
1505,224018.06
1506,185426.67
1507,240306.73
1508,191321.05
1509,160286.88
1510,147750.33
1511,142449.08
1512,169132.83
1513,143790.28
1514,163478.16
1515,190063.05
1516,166607.5
1517,154638.3
1518,136580.55
1519,229470.42
1520,130985.33
1521,133157.83
1522,172478.98
1523,108170.71
1524,125426.57
1525,122449.21
1526,120713.516
1527,105761.98
1528,130781.96
1529,152511.44
1530,174206.22
1531,82024.38
1532,101184.36
1533,143109.19
1534,118680.47
1535,153455.92
1536,110610.945
1537,75438.65
1538,179172.53
1539,191085.64
1540,84713.61
1541,139997.56
1542,139703.92
1543,232301.56
1544,78640.164
1545,110715.19
1546,131257.8
1547,126663.66
1548,142598.5
1549,117582.195
1550,144566.92
1551,112889.22
1552,133682.8
1553,157371.73
1554,108944.625
1555,169780.2
1556,83332.625
1557,106620.0
1558,93558.734
1559,87608.164
1560,140787.83
1561,139018.97
1562,130193.34
1563,123118.17
1564,161654.31
1565,145276.7
1566,233278.05
1567,72715.69
1568,223463.62
1569,136198.11
1570,127311.984
1571,129031.64
1572,149228.73
1573,250731.86
1574,121883.2
1575,231262.44
1576,224652.05
1577,203436.12
1578,151482.5
1579,150768.73
1580,191423.36
1581,152258.95
1582,128178.38
1583,337052.16
1584,229395.05
1585,139846.0
1586,78322.86
1587,95352.45
1588,149139.88
1589,98522.47
1590,135289.0
1591,96178.0
1592,119008.83
1593,135016.72
1594,138909.77
1595,111256.06
